budget_n,cluster_id,transfer_id,source,target,species,drug,predicted_delta_prauc_hybrid_random,observed_delta_prauc_hybrid_random,selected_alpha,policy_choice,oracle_choice,prauc_random,prauc_hybrid,prauc_policy,prauc_oracle,policy_correct_direction,regret_prauc,domain_auc_svd,centroid_distance_svd,covariance_distance_svd,source_to_target_nn_distance,source_internal_diversity
30,DRIAMS-A->DRIAMS-C|Escherichia coli,DRIAMS-A->DRIAMS-C|Escherichia coli|Ceftriaxone,DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftriaxone,0.0072980542169915,0.0046752634902445,100.0,hybrid,hybrid,0.3537504433484869,0.3584257068387314,0.3584257068387314,0.3584257068387314,True,0.0,0.9939924423604553,0.4444908499717712,0.6428219507555718,10.641363873344304,8.363616211754112
30,DRIAMS-A->DRIAMS-C|Escherichia coli,DRIAMS-A->DRIAMS-C|Escherichia coli|Ciprofloxacin,DRIAMS-A,DRIAMS-C,Escherichia coli,Ciprofloxacin,0.0073740058819232,0.0052655916477359,100.0,hybrid,hybrid,0.6811726998274001,0.6864382914751361,0.6864382914751361,0.6864382914751361,True,0.0,0.993189458525992,0.4327592849731445,0.6377758694086874,10.63365694876966,8.365212154038883
30,DRIAMS-A->DRIAMS-C|Escherichia coli,DRIAMS-A->DRIAMS-C|Escherichia coli|Cotrimoxazole,DRIAMS-A,DRIAMS-C,Escherichia coli,Cotrimoxazole,0.0073444676350443,0.0016620069267076,100.0,hybrid,hybrid,0.4244967742343191,0.4261587811610268,0.4261587811610268,0.4261587811610268,True,0.0,0.9929772894990648,0.4493109285831451,0.6454129404702896,10.656523301617018,8.375323706943353
30,DRIAMS-A->DRIAMS-C|Escherichia coli,DRIAMS-A->DRIAMS-C|Escherichia coli|Norfloxacin,DRIAMS-A,DRIAMS-C,Escherichia coli,Norfloxacin,0.0067479590413544,0.0038629337599695,100.0,hybrid,hybrid,0.7028507240792997,0.7067136578392693,0.7067136578392693,0.7067136578392693,True,0.0,0.9940661314431748,0.535570502281189,0.8564721015107754,11.395111713422242,9.367816715631434
30,DRIAMS-A->DRIAMS-C|Klebsiella pneumoniae,DRIAMS-A->DRIAMS-C|Klebsiella pneumoniae|Cotrimoxazole,DRIAMS-A,DRIAMS-C,Klebsiella pneumoniae,Cotrimoxazole,0.0034394345748281,0.0210573416241665,100.0,hybrid,hybrid,0.3133469823975826,0.3344043240217491,0.3344043240217491,0.3344043240217491,True,0.0,0.9926792422484404,0.5369187593460083,0.7660956986186117,11.283856003002096,8.537282455761114
30,DRIAMS-A->DRIAMS-C|Proteus mirabilis,DRIAMS-A->DRIAMS-C|Proteus mirabilis|Cotrimoxazole,DRIAMS-A,DRIAMS-C,Proteus mirabilis,Cotrimoxazole,0.0091889017750666,0.0053135485393879,100.0,hybrid,hybrid,0.442703884314312,0.4480174328536999,0.4480174328536999,0.4480174328536999,True,0.0,0.9853551912568306,0.3598484098911285,0.5053771404032915,11.119237328878516,9.592021888201351
30,DRIAMS-A->DRIAMS-C|Staphylococcus aureus,DRIAMS-A->DRIAMS-C|Staphylococcus aureus|Clindamycin,DRIAMS-A,DRIAMS-C,Staphylococcus aureus,Clindamycin,0.006586699115381,0.0114500999881492,100.0,hybrid,hybrid,0.209915302343827,0.2213654023319763,0.2213654023319763,0.2213654023319763,True,0.0,0.9915280418506224,0.5557421445846558,0.6546996317663976,11.238172866781277,8.49693292089609
30,DRIAMS-A->DRIAMS-C|Staphylococcus aureus,DRIAMS-A->DRIAMS-C|Staphylococcus aureus|Penicillin,DRIAMS-A,DRIAMS-C,Staphylococcus aureus,Penicillin,0.0066384984949475,0.0013175127883671,100.0,hybrid,hybrid,0.8914536479570286,0.8927711607453958,0.8927711607453958,0.8927711607453958,True,0.0,0.991449647116792,0.551287829875946,0.658242171622038,11.17401468487414,8.498923017721662
30,DRIAMS-B->DRIAMS-C|Staphylococcus aureus,DRIAMS-B->DRIAMS-C|Staphylococcus aureus|Clindamycin,DRIAMS-B,DRIAMS-C,Staphylococcus aureus,Clindamycin,0.0066210824965235,0.0050219390578648,100.0,hybrid,hybrid,0.1479396340980184,0.1529615731558833,0.1529615731558833,0.1529615731558833,True,0.0,0.9922841958437064,0.5828742980957031,0.7033335002769913,11.805748193017369,10.475410621878744
50,DRIAMS-A->DRIAMS-B|Escherichia coli,DRIAMS-A->DRIAMS-B|Escherichia coli|Amoxicillin-Clavulanic acid,DRIAMS-A,DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,0.0055861418247201,0.006945557230389,100.0,hybrid,hybrid,0.5243169959327545,0.5312625531631434,0.5312625531631434,0.5312625531631434,True,0.0,0.9942292239415216,0.8213404417037964,0.7121804839896885,12.199859769671376,8.379811144072734
