method,selection_rule,requested_coverage,actual_coverage,mean_confidence,mean_support,auroc,prauc,brier,slope,n,positives,prevalence
knn_50,support,0.6,0.6002710027100271,0.5686575612926912,11.417849715902358,0.5488265712012729,0.08335477271297709,0.08988045804842362,0.19849738585327614,443,24,0.05417607223476298
knn_50,support,0.7,0.7005420054200542,0.5717467551122583,11.883217330984268,0.5947998831434415,0.10005607479641733,0.08849212167793358,0.3990907331081191,517,28,0.05415860735009671
knn_50,support,0.8,0.7994579945799458,0.5713953481956637,12.370169808436248,0.5993145095479027,0.09828094980771616,0.0907017355031356,0.3942927088817054,590,33,0.05593220338983051
knn_50,support,0.9,0.8997289972899729,0.5775522687471568,12.956821113753033,0.5935951875442321,0.08785288618753503,0.09014436327718142,0.3696153107424082,664,36,0.05421686746987952
knn_50,support,1.0,1.0,0.5842492184809409,13.896775666187775,0.5936592364488924,0.09122311314934578,0.09019015100297675,0.38192030755224504,738,41,0.05555555555555555
knn_50,combined,0.2,0.2005420054200542,0.7788834418980413,10.400060166281623,0.4225352112676056,0.039175093821603627,0.048658215712275486,0.03307706386527877,148,6,0.04054054054054054
knn_50,combined,0.3,0.2994579945799458,0.7566908187064046,10.963833734762616,0.3891855807743658,0.027725904777410704,0.045142894497790874,0.00373353583924994,221,7,0.03167420814479638
knn_50,combined,0.4,0.3997289972899729,0.7248070046104613,11.294216806541055,0.5057618437900128,0.05504185032170714,0.05157109434596715,0.114606462290401,295,11,0.03728813559322034
knn_50,combined,0.5,0.5,0.7138682006990923,11.923470286857789,0.506841046277666,0.04337077060357942,0.054570406155964875,0.10733777435948345,369,14,0.037940379403794036
knn_50,combined,0.6,0.6002710027100271,0.6900335418468558,12.42220901131899,0.5427450980392157,0.05835446124668621,0.059138248570127436,0.20113679037604204,443,18,0.040632054176072234
knn_50,combined,0.7,0.7005420054200542,0.6646242559736389,12.773853283813889,0.5274599542334096,0.04986069963660712,0.0675410354493428,0.1503331226141428,517,23,0.04448742746615087
knn_50,combined,0.8,0.7994579945799458,0.642066828681275,13.151303501872693,0.5214794102694459,0.053205726607589265,0.0737306265820348,0.13678067667864888,590,28,0.04745762711864407
knn_50,combined,0.9,0.8997289972899729,0.6180652214830478,13.488455452430681,0.5507851894539691,0.07067679180914799,0.07991517785025459,0.24435555019063418,664,33,0.04969879518072289
knn_50,combined,1.0,1.0,0.584249218480941,13.89677566618777,0.5936592364488924,0.09122311314934578,0.09019015100297675,0.38192030755224504,738,41,0.05555555555555555
knn_100,confidence,0.2,0.2005420054200542,0.8184671322280034,14.844218826487257,0.5398601398601399,0.04299450228607261,0.03625421769299007,0.7757196762640393,148,5,0.033783783783783786
knn_100,confidence,0.3,0.2994579945799458,0.7818521501948468,14.819322639158948,0.5890995260663507,0.06894178637321693,0.04751141830348541,0.9682869420822446,221,10,0.04524886877828054
knn_100,confidence,0.4,0.3997289972899729,0.7497715686310211,14.639087693618514,0.5417348608837971,0.05306349415851942,0.04974372750428232,0.5580273047846371,295,13,0.04406779661016949
knn_100,confidence,0.5,0.5,0.7218240471323056,14.429012688853874,0.5379344919786095,0.053013606695396634,0.05402862845394455,0.4892636672448592,369,17,0.04607046070460705
knn_100,confidence,0.6,0.6002710027100271,0.6958693716679496,14.299707376908502,0.4991310824230387,0.04517006472476214,0.05538786816341992,0.228067297830581,443,19,0.04288939051918736
knn_100,confidence,0.7,0.7005420054200542,0.670652504967145,14.287419794661854,0.5079211406442528,0.04626077832457777,0.059884052668550805,0.22747080594025926,517,23,0.04448742746615087
knn_100,confidence,0.8,0.7994579945799458,0.6441023613899605,14.211648046186413,0.5034779050736498,0.04848610076453306,0.06392009152804648,0.16545031513479366,590,26,0.04406779661016949
knn_100,confidence,0.9,0.8997289972899729,0.6139135782180256,14.148484479935773,0.5292259083728278,0.05710117501299303,0.07057241699490382,0.2695272926066234,664,31,0.046686746987951805
knn_100,confidence,1.0,1.0,0.572032809921417,14.233207266750696,0.596423697379011,0.09515425510206131,0.08431119533593885,0.5999789544512577,738,41,0.05555555555555555
knn_100,support,0.2,0.2005420054200542,0.6038540777248419,9.679647229233302,0.5241071428571429,0.0645531040713801,0.07856904104683077,0.20729602749431947,148,8,0.05405405405405406
knn_100,support,0.3,0.2994579945799458,0.5991866361778775,10.241940454206855,0.5681341719077568,0.057678441640678306,0.07113419742621706,0.41794579988599173,221,9,0.04072398190045249
knn_100,support,0.4,0.3997289972899729,0.5738481271140221,10.744742173405017,0.604047619047619,0.1014216696687868,0.0794754794870609,0.5970451312328903,295,15,0.05084745762711865
knn_100,support,0.5,0.5,0.5720276881955332,11.208968439903364,0.558322192513369,0.0823785088463915,0.07801191248207207,0.4081937825058706,369,17,0.04607046070460705
knn_100,support,0.6,0.6002710027100271,0.5677086593865379,11.68085780070544,0.5737867939538583,0.08997819763272968,0.08297408254932147,0.4903430923246984,443,24,0.05417607223476298
knn_100,support,0.7,0.7005420054200542,0.5694483371153994,12.159526223343162,0.6112328366929595,0.10510780686782314,0.08168173330364141,0.7428597607220885,517,28,0.05415860735009671
knn_100,support,0.8,0.7994579945799458,0.5673448646952801,12.660557340621947,0.6014906697132909,0.1034163268754455,0.0838940479971425,0.6598991338172688,590,33,0.05593220338983051
knn_100,support,0.9,0.8997289972899729,0.5685413177126423,13.263540293136277,0.5899681528662419,0.09034724179622865,0.08402058132624433,0.569063720671762,664,36,0.05421686746987952
knn_100,support,1.0,1.0,0.572032809921417,14.233207266750698,0.596423697379011,0.09515425510206131,0.08431119533593884,0.5999789544512576,738,41,0.05555555555555555
knn_100,combined,0.2,0.2005420054200542,0.7306769778913786,10.497907715906969,0.5492957746478873,0.08748854388544444,0.049518567315198256,0.37805629777306105,148,6,0.04054054054054054
knn_100,combined,0.3,0.2994579945799458,0.7137029718301862,11.115493337147916,0.5314465408805031,0.05972874512940473,0.05200654461487113,0.32599182610332983,221,9,0.04072398190045249
knn_100,combined,0.4,0.3997289972899729,0.6942436781838248,11.567052398616985,0.4737516005121639,0.03895938530833051,0.05327497747260738,-0.005086237963403163,295,11,0.03728813559322034
knn_100,combined,0.5,0.5,0.6784199998477951,12.059621602655426,0.5344064386317908,0.05290634709878907,0.055419722914272246,0.3214835593345805,369,14,0.037940379403794036
knn_100,combined,0.6,0.6002710027100271,0.6645001245825785,12.632599283588657,0.5442338072669827,0.05753215250951498,0.06372800711251429,0.32964360461930814,443,21,0.04740406320541761
knn_100,combined,0.7,0.7005420054200542,0.6429904332739543,13.078681753793122,0.5388617886178861,0.05559655650767352,0.06833547947295826,0.2700060839011326,517,25,0.048355899419729204
knn_100,combined,0.8,0.7994579945799458,0.622275120732263,13.393030292640297,0.510821656469969,0.048399666881953324,0.07089479399697897,0.12492234854170788,590,27,0.04576271186440678
knn_100,combined,0.9,0.8997289972899729,0.601857085782402,13.755356099074145,0.5610622868942996,0.08075248163208937,0.07461351714101458,0.48267997446038713,664,33,0.04969879518072289
