site,kol,esik,net_fayda
DRIAMS-D,hepsi,0.05,0.05189
DRIAMS-D,hepsi,0.06,0.04181
DRIAMS-D,hepsi,0.07,0.0315
DRIAMS-D,hepsi,0.08,0.02098
DRIAMS-D,hepsi,0.09,0.01022
DRIAMS-D,hepsi,0.1,-0.00078
DRIAMS-D,hepsi,0.11,-0.01202
DRIAMS-D,hepsi,0.12,-0.02353
DRIAMS-D,hepsi,0.13,-0.03529
DRIAMS-D,hepsi,0.14,-0.04733
DRIAMS-D,hepsi,0.15,-0.05965
DRIAMS-D,hepsi,0.16,-0.07226
DRIAMS-D,hepsi,0.17,-0.08518
DRIAMS-D,hepsi,0.18,-0.09842
DRIAMS-D,hepsi,0.19,-0.11198
DRIAMS-D,hepsi,0.2,-0.12588
DRIAMS-D,hepsi,0.21,-0.14013
DRIAMS-D,hepsi,0.22,-0.15475
DRIAMS-D,hepsi,0.23,-0.16974
DRIAMS-D,hepsi,0.24,-0.18513
DRIAMS-D,hepsi,0.25,-0.20094
DRIAMS-D,hepsi,0.26,-0.21717
DRIAMS-D,hepsi,0.27,-0.23384
DRIAMS-D,hepsi,0.28,-0.25098
DRIAMS-D,hepsi,0.29,-0.26859
DRIAMS-D,hepsi,0.3,-0.28672
DRIAMS-D,hepsi,0.31,-0.30537
