source,target,species,drug,budget_n,metric,n_pairs,hybrid_mean,random_mean,delta_mean,delta_ci_low,delta_ci_high,significant
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftazidime,30,brier,50,0.1378586835264494,0.1388137976891839,-0.0009551141627345,-0.0019084974242702,1.8856618140873262e-05,False
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftazidime,30,selected_pos,50,9.94,4.64,5.3,4.48,6.16,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftazidime,50,auroc,50,0.6454381782600962,0.6441245330012454,0.0013136452588507,-0.0036356698096424,0.0059605764098914,False
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftazidime,50,prauc,50,0.3203956465469133,0.3148273439315777,0.0055683026153356,-0.001765448906553,0.0125217734135686,False
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftazidime,50,brier,50,0.1378980579247729,0.1385210100472726,-0.0006229521224997,-0.0013889532306588,0.000128910050123,False
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftazidime,50,selected_pos,50,13.24,8.0,5.24,4.3,6.18,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftriaxone,20,auroc,50,0.6637944609483465,0.6618751933282827,0.0019192676200637,-0.0020558558036616,0.0057861155710418,False
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftriaxone,20,prauc,50,0.3593145916077859,0.3483973062266501,0.0109172853811356,0.003671170845452,0.0183647032107519,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftriaxone,20,brier,50,0.1327871205636526,0.1342429970998165,-0.0014558765361639,-0.0022278378827099,-0.0006992835207506,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftriaxone,20,selected_pos,50,9.58,3.14,6.44,5.68,7.16,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftriaxone,30,auroc,50,0.6669443282176434,0.6628119648772665,0.0041323633403769,-0.0006968308371231,0.0090954814596708,False
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftriaxone,30,prauc,50,0.3584257068387314,0.3537504433484869,0.0046752634902445,-0.0024012677885809,0.0113079594680579,False
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftriaxone,30,brier,50,0.1329580456071935,0.1337862370634769,-0.0008281914562834,-0.0015914045407114,-4.611869417035503e-05,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftriaxone,30,selected_pos,50,13.26,4.48,8.78,8.02,9.56,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftriaxone,50,auroc,50,0.6669727307174749,0.6635635696968695,0.0034091610206054,-0.0010331067774078,0.0079181967792329,False
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftriaxone,50,prauc,50,0.3615208650885122,0.3506620306592103,0.0108588344293019,0.0037013893299925,0.0182830237744207,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftriaxone,50,brier,50,0.132981938773517,0.1341135105715148,-0.0011315717979978,-0.0020313389403807,-0.0002176279085967,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftriaxone,50,selected_pos,50,18.74,8.6,10.14,9.2995,11.0,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Ciprofloxacin,20,auroc,50,0.8148584615191272,0.814588724677022,0.0002697368421052,-0.0030478935743728,0.0034922015595938,False
DRIAMS-A,DRIAMS-C,Escherichia coli,Ciprofloxacin,20,prauc,50,0.6825286317952051,0.6824137353533398,0.0001148964418653,-0.0035920034826462,0.0038920389950482,False
DRIAMS-A,DRIAMS-C,Escherichia coli,Ciprofloxacin,20,brier,50,0.1134329958220864,0.1136303975669601,-0.0001974017448736,-0.0011858945479111,0.0007907808488256,False
DRIAMS-A,DRIAMS-C,Escherichia coli,Ciprofloxacin,20,selected_pos,50,7.2,4.4,2.8,2.0,3.58,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Ciprofloxacin,30,auroc,50,0.817512573518323,0.813869369878852,0.0036432036394711,0.0009233174043633,0.0063401700661036,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Ciprofloxacin,30,prauc,50,0.6864382914751361,0.6811726998274001,0.0052655916477359,0.0018797280943189,0.0088543441983368,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Ciprofloxacin,30,brier,50,0.1123930631831787,0.1138755849765278,-0.001482521793349,-0.0023765256907013,-0.0006436743549627,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Ciprofloxacin,30,selected_pos,50,10.36,6.48,3.88,3.1595000000000004,4.62,True
DRIAMS-A,DRIAMS-C,Escherichia coli,Ciprofloxacin,50,auroc,50,0.8164266701854923,0.81521541497009,0.0012112552154024,-0.0022828743150857,0.0045145915020358,False
DRIAMS-A,DRIAMS-C,Escherichia coli,Ciprofloxacin,50,prauc,50,0.685221785565048,0.6819637380338971,0.0032580475311509,-0.001101938914686,0.0074381453822786,False
