rep,strategy,budget_n,selected_pos,selected_pos_rate,auroc,prauc,brier,slope,n,positives,prevalence
8,domain_distance,30,1,0.03333333333333333,0.6817186644772852,0.13808613990260457,0.05509220678115329,0.3344915223589334,369,21,0.056910569105691054
8,hybrid,30,4,0.13333333333333333,0.719896004378763,0.16258187124161436,0.054174946911733114,0.4132500113908132,369,21,0.056910569105691054
8,random,50,2,0.04,0.6840448823207443,0.1528364594337625,0.054859437839603536,0.34034288362337234,369,21,0.056910569105691054
8,kennard_stone,50,3,0.06,0.6906130268199234,0.15987906944746746,0.052673472036228214,0.37895432647087546,369,21,0.056910569105691054
8,uncertainty,50,2,0.04,0.7244116037219486,0.14266749561717024,0.0566380305354491,0.379662927749037,369,21,0.056910569105691054
8,domain_distance,50,3,0.06,0.6740558292282429,0.14906398466641244,0.0546138625565825,0.3248781006844058,369,21,0.056910569105691054
8,hybrid,50,7,0.14,0.689655172413793,0.18035240960265614,0.05256408642026581,0.4068425005991607,369,21,0.056910569105691054
8,random,75,3,0.04,0.6669403393541324,0.13112630454472524,0.05534001512825047,0.3115197624145828,369,21,0.056910569105691054
8,kennard_stone,75,3,0.04,0.7040229885057471,0.19822610301612642,0.05302254960754159,0.3978451410014746,369,21,0.056910569105691054
8,uncertainty,75,3,0.04,0.6531198686371099,0.1632824514365269,0.054533349486936576,0.306639170155817,369,21,0.056910569105691054
8,domain_distance,75,4,0.05333333333333334,0.6461412151067324,0.1659386045891557,0.05283731630168989,0.3150229141098035,369,21,0.056910569105691054
8,hybrid,75,9,0.12,0.6892446633825944,0.1511824743568396,0.05430441967921946,0.4036577187461557,369,21,0.056910569105691054
8,random,100,6,0.06,0.6852764094143404,0.15127656236428763,0.054250966789272666,0.3490021307944027,369,21,0.056910569105691054
8,kennard_stone,100,6,0.06,0.7008757525998905,0.14473363781058785,0.05434864951865922,0.3821172973123203,369,21,0.056910569105691054
8,uncertainty,100,3,0.03,0.7021072796934866,0.20094153356164696,0.05373593318632358,0.3602950344592099,369,21,0.056910569105691054
8,domain_distance,100,5,0.05,0.7049808429118773,0.1472615400459016,0.05445601248659953,0.4226153215734824,369,21,0.056910569105691054
8,hybrid,100,10,0.1,0.705391351943076,0.18916991643928935,0.053032780808981723,0.44210272199989414,369,21,0.056910569105691054
9,source_only,0,0,0.0,0.7393982808022923,0.18906962646537134,0.05101018006208283,0.4733269447709712,369,20,0.05420054200542006
9,random,10,0,0.0,0.7193409742120345,0.23086733717566793,0.05007474676523065,0.4426673859852624,369,20,0.05420054200542006
9,kennard_stone,10,2,0.2,0.7005730659025788,0.17703776458585366,0.05204464589042808,0.40060498591196425,369,20,0.05420054200542006
9,uncertainty,10,2,0.2,0.6710601719197707,0.19851913847265376,0.05147435293990601,0.39048980691885715,369,20,0.05420054200542006
9,domain_distance,10,2,0.2,0.7202005730659026,0.23690006444304415,0.04902700901934801,0.47340299503426203,369,20,0.05420054200542006
9,hybrid,10,2,0.2,0.7197707736389686,0.2352654903065131,0.04870515389094434,0.48793924809592515,369,20,0.05420054200542006
9,random,20,1,0.05,0.6949856733524356,0.15092053306119568,0.052120777625063376,0.39119401498134215,369,20,0.05420054200542006
9,kennard_stone,20,2,0.1,0.7326647564469914,0.2505655616612118,0.047505844679882885,0.5055955716622726,369,20,0.05420054200542006
9,uncertainty,20,3,0.15,0.7055873925501432,0.20360991539848386,0.05214840991972375,0.4373057641690588,369,20,0.05420054200542006
9,domain_distance,20,2,0.1,0.7050143266475646,0.1634130073538827,0.05382437092464663,0.38140167135148223,369,20,0.05420054200542006
9,hybrid,20,4,0.2,0.718051575931232,0.2375809878679495,0.04791269609403255,0.5153092350896139,369,20,0.05420054200542006
9,random,30,3,0.1,0.7080229226361031,0.18558092591670292,0.04969446212739706,0.4412441700071367,369,20,0.05420054200542006
9,kennard_stone,30,3,0.1,0.6818051575931233,0.20904486775612344,0.0501715827113458,0.3980031981734845,369,20,0.05420054200542006
9,uncertainty,30,3,0.1,0.7217765042979942,0.20372982231071513,0.05117327218536387,0.46572096142370384,369,20,0.05420054200542006
9,domain_distance,30,4,0.13333333333333333,0.7696275071633238,0.2087743235302868,0.05045379463477784,0.5096384344928123,369,20,0.05420054200542006
9,hybrid,30,4,0.13333333333333333,0.7614613180515759,0.25004171922925644,0.04797416725475235,0.5623914260553936,369,20,0.05420054200542006
9,random,50,3,0.06,0.685243553008596,0.17151233619613962,0.05082915683835067,0.40398173580190033,369,20,0.05420054200542006
9,kennard_stone,50,6,0.12,0.7130372492836676,0.2168573024113406,0.04929783599924343,0.4428353396764908,369,20,0.05420054200542006
9,uncertainty,50,3,0.06,0.71189111747851,0.17736898384287686,0.05158319646129133,0.44375935072780626,369,20,0.05420054200542006
9,domain_distance,50,4,0.08,0.7484240687679083,0.20931087652720828,0.04999615613840277,0.498123421595121,369,20,0.05420054200542006
9,hybrid,50,8,0.16,0.7170487106017192,0.21270170535024627,0.048833182926011735,0.5010755598227581,369,20,0.05420054200542006
9,random,75,3,0.04,0.7330945558739255,0.22125943509792045,0.04988488090486044,0.49821827771924176,369,20,0.05420054200542006
9,kennard_stone,75,8,0.10666666666666667,0.7610315186246418,0.2166795371160286,0.04888833742355913,0.5630580316273204,369,20,0.05420054200542006
9,uncertainty,75,3,0.04,0.6767908309455588,0.20790543055673827,0.049827376551272645,0.4071705355786419,369,20,0.05420054200542006
9,domain_distance,75,6,0.08,0.6671919770773638,0.1521179185743038,0.05175065148986101,0.3568067890424215,369,20,0.05420054200542006
9,hybrid,75,10,0.13333333333333333,0.7438395415472778,0.2713180525928642,0.04754016561542094,0.593575968537685,369,20,0.05420054200542006
9,random,100,5,0.05,0.7548710601719197,0.23377377808407057,0.049555218047099926,0.5285274267758886,369,20,0.05420054200542006
9,kennard_stone,100,11,0.11,0.7302292263610316,0.23378625284815413,0.04827551775885504,0.5013940201284639,369,20,0.05420054200542006
9,uncertainty,100,4,0.04,0.7358166189111748,0.17961772445342825,0.05128595247164789,0.4535945573373417,369,20,0.05420054200542006
9,domain_distance,100,9,0.09,0.7398280802292263,0.263346114175404,0.04762058454298804,0.5151607792926935,369,20,0.05420054200542006
9,hybrid,100,12,0.12,0.7318051575931231,0.2898809466098313,0.046766119887466984,0.5465177601192166,369,20,0.05420054200542006
10,source_only,0,0,0.0,0.7376790830945559,0.27937994962644563,0.05038088721709105,0.45351000043758916,369,20,0.05420054200542006
10,random,10,1,0.1,0.7753581661891117,0.23384776496923604,0.05127791697946414,0.48976575769138486,369,20,0.05420054200542006
10,kennard_stone,10,2,0.2,0.7541547277936964,0.2812862302480524,0.04855081511064063,0.49404980649928354,369,20,0.05420054200542006
10,uncertainty,10,1,0.1,0.7336676217765044,0.2554300285676515,0.05273549070291683,0.43340830744328906,369,20,0.05420054200542006
10,domain_distance,10,2,0.2,0.7578796561604584,0.2879781962513795,0.049180768673687425,0.49865301135397555,369,20,0.05420054200542006
10,hybrid,10,2,0.2,0.7617478510028652,0.33325793682911314,0.045116392561404726,0.5351141042247843,369,20,0.05420054200542006
10,random,20,1,0.05,0.7484240687679082,0.26068453690149124,0.04911321312719453,0.4679069301187471,369,20,0.05420054200542006
10,kennard_stone,20,2,0.1,0.7491404011461318,0.23432749171416764,0.053546689237905745,0.4446381571814388,369,20,0.05420054200542006
10,uncertainty,20,1,0.05,0.7626074498567336,0.27577095998134393,0.053413278240455296,0.4679365382663489,369,20,0.05420054200542006
10,domain_distance,20,2,0.1,0.75945558739255,0.2709302944603692,0.04896609321357587,0.4976016986376634,369,20,0.05420054200542006
10,hybrid,20,3,0.15,0.7702005730659025,0.31642248583107474,0.04534986325696907,0.5735013776946288,369,20,0.05420054200542006
10,random,30,0,0.0,0.7372492836676218,0.2849948705520111,0.04787068973664867,0.47285074874281663,369,20,0.05420054200542006
10,kennard_stone,30,3,0.1,0.7230659025787964,0.2603724965924483,0.050602264165305395,0.43737757884558975,369,20,0.05420054200542006
10,uncertainty,30,2,0.06666666666666667,0.7540114613180516,0.27947886896062435,0.04825676127481217,0.5089450956683786,369,20,0.05420054200542006
10,domain_distance,30,2,0.06666666666666667,0.760458452722063,0.2640847144480228,0.048858703701612306,0.48840493722641015,369,20,0.05420054200542006
10,hybrid,30,4,0.13333333333333333,0.7904011461318051,0.3732750316771522,0.04258313918895148,0.6298339802300229,369,20,0.05420054200542006
10,random,50,3,0.06,0.7568767908309456,0.20866283215414766,0.04889260050611137,0.4827817324336238,369,20,0.05420054200542006
10,kennard_stone,50,3,0.06,0.7547277936962752,0.29999927136475524,0.04618832782315171,0.5049801266628495,369,20,0.05420054200542006
10,uncertainty,50,2,0.04,0.77134670487106,0.31029741422235807,0.0478792181549686,0.5151559263758889,369,20,0.05420054200542006
10,domain_distance,50,4,0.08,0.7530085959885386,0.30541397328719955,0.046406086805106855,0.5250732612226638,369,20,0.05420054200542006
10,hybrid,50,6,0.12,0.7684813753581663,0.3429181506455142,0.04400262251935608,0.5977677184321564,369,20,0.05420054200542006
10,random,75,5,0.06666666666666667,0.7628939828080229,0.29480503920265727,0.04699481503395866,0.5135326191958677,369,20,0.05420054200542006
10,kennard_stone,75,4,0.05333333333333334,0.7306590257879656,0.3229818926050857,0.04438531350056945,0.48338029692501344,369,20,0.05420054200542006
10,uncertainty,75,2,0.02666666666666667,0.733810888252149,0.2567188427702332,0.049785337594709565,0.4385050045350295,369,20,0.05420054200542006
10,domain_distance,75,5,0.06666666666666667,0.7759312320916905,0.27066015764548423,0.047488276103716705,0.5285083912808632,369,20,0.05420054200542006
10,hybrid,75,7,0.09333333333333334,0.7527220630372493,0.289208915072994,0.04610556909186308,0.5326098370184337,369,20,0.05420054200542006
10,random,100,3,0.03,0.7669054441260745,0.30190324406388186,0.048255727375600244,0.4960326900607839,369,20,0.05420054200542006
10,kennard_stone,100,6,0.06,0.7653295128939828,0.3040741341617745,0.04536113013031256,0.5771645549727612,369,20,0.05420054200542006
10,uncertainty,100,2,0.02,0.7392550143266476,0.23951154157930077,0.05055652495537921,0.42762371605092175,369,20,0.05420054200542006
10,domain_distance,100,5,0.05,0.7517191977077364,0.27642195637914435,0.04699739163548694,0.5245857491779892,369,20,0.05420054200542006
10,hybrid,100,9,0.09,0.7494269340974212,0.3274326637405779,0.04535507252021289,0.5734024771503522,369,20,0.05420054200542006
11,source_only,0,0,0.0,0.64272030651341,0.11909173822357708,0.06347198122046101,0.2448560079337747,369,21,0.056910569105691054
11,random,10,1,0.1,0.6988232074438971,0.14400243988191405,0.06049228726710087,0.3305713322063882,369,21,0.056910569105691054
11,kennard_stone,10,0,0.0,0.6436781609195403,0.11523023463897282,0.06118316029544248,0.24975233681756642,369,21,0.056910569105691054
11,uncertainty,10,1,0.1,0.662287903667214,0.16400613880316717,0.06116305367502325,0.2992707214083847,369,21,0.056910569105691054
11,domain_distance,10,0,0.0,0.6535303776683086,0.14249154914267156,0.058978188507016735,0.26923925227777634,369,21,0.056910569105691054
11,hybrid,10,1,0.1,0.6663929939792008,0.17117764500458219,0.05628156831172201,0.3196685687234734,369,21,0.056910569105691054
11,random,20,3,0.15,0.6841817186644773,0.1669052194823593,0.057314848629062866,0.3455727551062739,369,21,0.056910569105691054
11,kennard_stone,20,0,0.0,0.685823754789272,0.1313037140420023,0.05945075629408117,0.31312326123355094,369,21,0.056910569105691054
11,uncertainty,20,1,0.05,0.6774767378215655,0.14509100698308322,0.06141357271643457,0.31435424475622875,369,21,0.056910569105691054
11,domain_distance,20,0,0.0,0.6476464148877942,0.1487590178943042,0.06057294831825383,0.259896501315662,369,21,0.056910569105691054
11,hybrid,20,3,0.15,0.6617405582922824,0.15897564933423533,0.05677232561197525,0.31247445942449137,369,21,0.056910569105691054
11,random,30,1,0.03333333333333333,0.6429939792008758,0.12166464544941873,0.0597419818258952,0.25166376717930494,369,21,0.056910569105691054
11,kennard_stone,30,2,0.06666666666666667,0.6449096880131363,0.14244317871872672,0.05860241841368074,0.28617201492453603,369,21,0.056910569105691054
11,uncertainty,30,2,0.06666666666666667,0.7082649151614668,0.18172122204630742,0.05750362655241453,0.3855792218444616,369,21,0.056910569105691054
11,domain_distance,30,2,0.06666666666666667,0.6535303776683088,0.1576384514527803,0.0614004354382031,0.2712898881842847,369,21,0.056910569105691054
11,hybrid,30,3,0.1,0.6844553913519431,0.17330495670375085,0.05508512912908079,0.3483656913763663,369,21,0.056910569105691054
11,random,50,2,0.04,0.6661193212917351,0.11300385926121916,0.06038869173466887,0.25736609267636285,369,21,0.056910569105691054
11,kennard_stone,50,5,0.1,0.6652983032293377,0.12459384056249163,0.05832556921324178,0.3031016745311434,369,21,0.056910569105691054
11,uncertainty,50,2,0.04,0.6574986316365626,0.13269178626378395,0.061349049719185096,0.2676187649738618,369,21,0.056910569105691054
11,domain_distance,50,4,0.08,0.6804871373836892,0.13755677641154412,0.058662074770357946,0.31853809442043846,369,21,0.056910569105691054
11,hybrid,50,7,0.14,0.6217843459222769,0.14109086662711384,0.05711944834272568,0.2563765218552407,369,21,0.056910569105691054
11,random,75,5,0.06666666666666667,0.6889709906951286,0.14752353862093595,0.05686751048704314,0.3289489509693053,369,21,0.056910569105691054
11,kennard_stone,75,5,0.06666666666666667,0.6752873563218391,0.14026032754256088,0.05466388079010197,0.3439534821004545,369,21,0.056910569105691054
11,uncertainty,75,3,0.04,0.6910235358511221,0.12936180968987082,0.061327408228584054,0.2998903895377892,369,21,0.056910569105691054
11,domain_distance,75,5,0.06666666666666667,0.6918445539135194,0.1447709356195273,0.057071910788286905,0.3360442766005426,369,21,0.056910569105691054
