cift,hedef,metrik,strateji,n,deger,kaynak
Escherichia coli/Ceftriaxone,DRIAMS-D,egim,pooled,200,0.746 [0.729-0.762],0.688 [0.662-0.715]
Escherichia coli/Ceftriaxone,DRIAMS-D,egim,pooled,500,0.725 [0.703-0.746],0.688 [0.662-0.715]
Escherichia coli/Ciprofloxacin,DRIAMS-C,prauc,recal,25,0.623 [0.505-0.695],0.678 [0.656-0.699]
Escherichia coli/Ciprofloxacin,DRIAMS-C,prauc,recal,50,0.678 [0.655-0.699],0.678 [0.656-0.699]
Escherichia coli/Ciprofloxacin,DRIAMS-C,prauc,recal,100,0.678 [0.655-0.700],0.678 [0.656-0.699]
Escherichia coli/Ciprofloxacin,DRIAMS-C,prauc,recal,200,0.678 [0.655-0.699],0.678 [0.656-0.699]
Escherichia coli/Ciprofloxacin,DRIAMS-C,prauc,recal,400,0.678 [0.655-0.699],0.678 [0.656-0.699]
Escherichia coli/Ciprofloxacin,DRIAMS-C,prauc,finetune,25,0.641 [0.615-0.663],0.678 [0.656-0.699]
Escherichia coli/Ciprofloxacin,DRIAMS-C,prauc,finetune,50,0.651 [0.626-0.676],0.678 [0.656-0.699]
Escherichia coli/Ciprofloxacin,DRIAMS-C,prauc,finetune,100,0.655 [0.634-0.676],0.678 [0.656-0.699]
Escherichia coli/Ciprofloxacin,DRIAMS-C,prauc,finetune,200,0.662 [0.639-0.684],0.678 [0.656-0.699]
Escherichia coli/Ciprofloxacin,DRIAMS-C,prauc,finetune,400,0.674 [0.645-0.700],0.678 [0.656-0.699]
Escherichia coli/Ciprofloxacin,DRIAMS-C,prauc,local,25,0.258 [0.232-0.282],0.678 [0.656-0.699]
Escherichia coli/Ciprofloxacin,DRIAMS-C,prauc,local,50,0.291 [0.265-0.317],0.678 [0.656-0.699]
Escherichia coli/Ciprofloxacin,DRIAMS-C,prauc,local,100,0.355 [0.319-0.389],0.678 [0.656-0.699]
Escherichia coli/Ciprofloxacin,DRIAMS-C,prauc,local,200,0.474 [0.462-0.491],0.678 [0.656-0.699]
Escherichia coli/Ciprofloxacin,DRIAMS-C,prauc,local,400,0.560 [0.538-0.582],0.678 [0.656-0.699]
Escherichia coli/Ciprofloxacin,DRIAMS-C,prauc,pooled,25,0.666 [0.644-0.686],0.678 [0.656-0.699]
Escherichia coli/Ciprofloxacin,DRIAMS-C,prauc,pooled,50,0.672 [0.646-0.694],0.678 [0.656-0.699]
