rep,scenario,budget_fraction,adapt_n,adapt_pos,test_n,test_pos,auroc,prauc,brier,slope,n,positives,prevalence
3,target_only,0.2,74,4,369,21,0.38300492610837433,0.04517815864911388,0.056905005793836005,-0.33399419137267583,369,21,0.056910569105691054
3,source_plus_target,0.2,74,4,369,21,0.7490421455938697,0.2970381963579668,0.04917883316510322,0.4719361143817305,369,21,0.056910569105691054
3,target_only,0.5,184,9,369,21,0.5558292282430213,0.12538838128220256,0.05666119507778934,0.15930698833870277,369,21,0.056910569105691054
3,source_plus_target,0.5,184,9,369,21,0.8129447181171319,0.28881208382508444,0.04836098872219653,0.5899164520728307,369,21,0.056910569105691054
3,target_only,1.0,369,20,369,21,0.5743021346469622,0.07685583275148822,0.056903615708997296,0.12670877530776886,369,21,0.056910569105691054
3,source_plus_target,1.0,369,20,369,21,0.761631089217296,0.33558978370409587,0.0474263904238444,0.626222095749046,369,21,0.056910569105691054
4,source_only,0.0,0,0,369,21,0.7795566502463054,0.25307354071297017,0.05254048187016433,0.48743543448374244,369,21,0.056910569105691054
4,target_only,0.01,10,2,369,21,0.5,0.056910569105691054,0.07414634146341463,1.3320913456600951,369,21,0.056910569105691054
4,source_plus_target,0.01,10,2,369,21,0.7463054187192117,0.28711058032684633,0.05195745682799051,0.47431696316613037,369,21,0.056910569105691054
4,target_only,0.025,10,2,369,21,0.5,0.056910569105691054,0.07414634146341463,1.3320913456600951,369,21,0.056910569105691054
4,source_plus_target,0.025,10,2,369,21,0.7952928297755884,0.28971015564605185,0.05177763667643339,0.5476824489814864,369,21,0.056910569105691054
4,target_only,0.05,18,2,369,21,0.5,0.056910569105691054,0.05660945498343874,1.096527438594909,369,21,0.056910569105691054
4,source_plus_target,0.05,18,2,369,21,0.7805145046524358,0.28844551638496285,0.05080464604337709,0.5134941176166561,369,21,0.056910569105691054
4,target_only,0.1,37,4,369,21,0.5,0.056910569105691054,0.05629294422966144,1.086462625129968,369,21,0.056910569105691054
4,source_plus_target,0.1,37,4,369,21,0.7510946907498631,0.24470015283867805,0.05100313875126415,0.4753297582288421,369,21,0.056910569105691054
4,target_only,0.2,74,2,369,21,0.4923371647509579,0.061472760401661705,0.05690358191609161,-0.08555408649933074,369,21,0.056910569105691054
4,source_plus_target,0.2,74,2,369,21,0.7088122605363985,0.24123099960594346,0.05026094127374646,0.40772558582406454,369,21,0.056910569105691054
4,target_only,0.5,184,13,369,21,0.5290093048713738,0.10241019464914639,0.056864332737769675,0.135548563570771,369,21,0.056910569105691054
4,source_plus_target,0.5,184,13,369,21,0.8262178434592227,0.3035270469425194,0.04689979821997766,0.6137962797972558,369,21,0.056910569105691054
4,target_only,1.0,369,20,369,21,0.5953749315818281,0.0949950286343994,0.056902570784936005,0.2605233323438974,369,21,0.056910569105691054
4,source_plus_target,1.0,369,20,369,21,0.7983032293377121,0.4094346078901694,0.046108930930453734,0.6812381182671462,369,21,0.056910569105691054
5,source_only,0.0,0,0,369,20,0.6852435530085961,0.2160700546663048,0.05555990657405181,0.3315592635459774,369,20,0.05420054200542006
5,target_only,0.01,10,2,369,20,0.5,0.05420054200542006,0.07252032520325204,1.3565759077799218,369,20,0.05420054200542006
