mz,E.coli-Cipr,E.coli-Ceft,K.pneum-Ceft,S.aureu-Oxac,P.aerug-Cipr
2216.0,0.00015119510932552982,0.0002712579846286512,3.368366106709185e-05,0.0005241640799358081,0.0009196512145610421
2219.0,0.000362454982064961,8.59175005068857e-05,7.09549945769496e-06,0.0,4.327517354118488e-05
2222.0,2.5444550977125702e-05,3.713438443210255e-05,1.6135921248369545e-05,0.0,0.00010616151550542956
2225.0,1.663996062990558e-05,0.00013695933795761266,9.94113606545442e-07,0.0,0.0002800206464484086
2228.0,7.91164931958057e-05,0.0001918919170432212,0.00044210561327426664,2.984863703433308e-05,0.0001839406290855281
2231.0,1.6558536022387281e-06,0.0003262417369597037,0.0004857723056056929,0.0,0.0004000272578041712
2234.0,0.0007842281431940165,0.0008737983973877867,0.018651057773731293,0.0,5.760858912659477e-06
2237.0,0.0001955150102850776,0.0006008595209594732,0.0008169035196309792,0.00015410005144450055,8.29680449778799e-05
2240.0,0.00013175267942224598,4.726219027283844e-05,0.0003417291329128424,0.002001522378101928,2.1074953150970493e-05
2243.0,0.00023736383828260282,0.0026218158783065473,0.0015084447929669367,0.00848572935947188,3.643882654170612e-05
2246.0,0.0002316927876670167,0.0005209908024840756,4.456432181738163e-08,0.0008867755384519838,0.0005482297387004134
2249.0,0.00027778306868223897,0.0,8.178413502411017e-05,0.0002461029911436598,0.0007442875201316208
2252.0,9.27779633688852e-05,0.00011785034726922351,0.00010350997046695989,0.00013098489191717836,5.691699232921622e-06
2255.0,0.0005809021459010302,0.004488538405353598,0.00013995452348860953,0.0006408647837765728,3.134046249222386e-05
2258.0,0.0009387476041867426,0.010863797289962257,0.0014172594137867236,0.0036893241802963264,1.8714090471952793e-05
2261.0,0.00010982620202497901,0.0018215931427486038,1.5697392496425481e-06,0.0007352072110747379,0.0
2264.0,4.4561485771818105e-05,0.0,2.951507974127961e-05,0.0005009565475497161,0.0
2267.0,6.164563369718638e-05,0.0005488703509558622,5.1442325831799726e-05,4.9359307545718757e-05,0.00011237479780396692
2270.0,0.0004190294308100682,0.00013720983684753417,7.368644344570783e-06,0.0,6.533362239190252e-05
2273.0,0.00014323117338407195,3.475374463429956e-05,6.808489045114996e-05,0.0,0.0003882957502062375
2276.0,0.0004025255677516183,0.0006619165841030733,4.201453775273761e-05,0.0,1.5893210177251517e-05
2279.0,6.461150817952885e-05,8.206389370288756e-05,0.0003149114812565132,0.0,0.0
2282.0,0.0009473712059157826,0.00038117806623662244,0.00018023151023663172,0.0,5.584476673182632e-05
2285.0,8.802669067061056e-05,0.0,0.0005482279176085651,0.0007578620065965307,4.4839401796705786e-05
2288.0,2.7302540076065167e-07,0.0,1.5597877483718147e-05,0.00035295784441221077,0.0
2291.0,0.0002778139688726222,1.7502374751206856e-05,5.2194356466740086e-05,0.0,0.0002056445783074324
2294.0,0.00022922267590722595,0.00010972721462630566,6.559284773115581e-05,0.0,0.00014572326166911698
2297.0,0.0001464257208813512,0.00010984227009885585,0.0004451910173193802,0.0007795778354478311,0.00023681983397848315
2300.0,0.00016247327070849154,0.0001189720116320397,0.00014289160911311257,4.0226721124411443e-05,0.0007326088984593838
2303.0,0.0003047900929254404,0.00028226588248892544,7.114489708888273e-05,0.0005792677776409043,1.1164202965459345e-05
2306.0,0.0001787094327480582,0.0,0.0008030287726898136,0.0004965675235604137,0.00038366458936529835
2309.0,0.00012289045291495894,0.0001328218253015524,1.4829953651566805e-05,0.0,0.0
2312.0,0.0003407043119502675,0.0,1.652048823107789e-05,0.0,0.000333776303507766
2315.0,0.00012902468819446885,1.6390869636807624e-05,7.1822470678362335e-06,0.0,0.0002604938804294195
2318.0,9.996443512865219e-05,0.0,0.0007649235625235614,0.0,0.00022263173507041826
2321.0,7.596303968998443e-05,2.1804212506325745e-05,7.035434210033097e-06,0.00024883709377075176,0.0
2324.0,0.00013798568308158416,0.0019353994667539985,0.0014362731575466112,0.00022622685075389086,0.0
2327.0,0.00036743206767256325,0.005675126130977189,0.0034183464967518754,0.0,0.0005137092677398654
2330.0,7.154704672091984e-05,0.0008726475785119048,0.00020045978268670034,0.0001496581146737849,0.006247955049518685
2333.0,9.978085719437151e-05,5.005499891425283e-05,1.0719690801079083e-05,0.00048771754370594515,3.5667367174043376e-05
2336.0,8.362227062013933e-05,0.000123940102373032,5.572186653629438e-08,0.0,0.0
2339.0,6.2540973773868655e-06,9.293734894089213e-05,0.0003109663013541179,0.000490123596353713,0.0
2342.0,8.292310004349357e-05,2.820272344019669e-05,0.00019776717285005939,9.76430330930718e-05,0.00013970612038607185
2345.0,0.0002486677792737718,0.0029631843169908843,0.000584501302362138,0.00048511817124634337,1.5944351138251947e-05
2348.0,2.131270023262289e-05,8.903887997728909e-05,6.919129000019763e-05,0.0,0.0006928468621524123
2351.0,6.961769147934009e-05,0.0,8.310422729625342e-06,2.8402280694010956e-05,8.495923561195573e-06
2354.0,7.730956327106702e-05,0.0003133631682732478,5.368790107422807e-05,0.0,3.463931777861749e-05
2357.0,0.0002170683278132861,0.0037948632690938404,0.001987746209008392,0.0,0.0
2360.0,0.00027934057689492164,0.0005630447645176657,0.00031156339059046785,0.0005563018130561098,7.3437707477228424e-06
2363.0,0.00012231013659289074,0.0,1.110605050736868e-06,0.0002642444062362123,0.00023306836420001854
2366.0,0.00010113200205714492,0.0,0.00039936327615307043,0.0,2.9812492036133776e-05
2369.0,9.190645432073359e-05,1.9519676321416216e-05,5.9201708069456066e-05,0.0001251720266032442,2.177626946776856e-05
2372.0,8.31222500043695e-05,0.0,5.361930665789736e-06,0.0,0.0006973359834333173
2375.0,0.00022024903363927517,0.00022202503161804273,0.0002738036219138693,0.00024738305424368886,9.126371095462433e-06
2378.0,0.0003119903190081914,0.000998309058380866,0.00016695383045825914,0.00017204235938975205,3.9414620819581783e-05
2381.0,2.3941156543067817e-06,0.00014748827785284689,4.592151135888852e-06,5.733978300982068e-05,0.0007969501700927263
2384.0,3.637795698903238e-05,0.0,2.6431188016547692e-05,0.00024723807863933424,0.0
2387.0,1.6022432387410683e-05,0.0,0.0007294765779706706,0.0,6.0783058346522665e-05
2390.0,8.987426879813914e-05,0.0,0.00044457858166434586,0.0,2.527332499786817e-05
2393.0,0.00010419475714186778,0.0,0.0002596299314715916,0.0,1.3838658166895782e-05
2396.0,0.00012848441004242823,0.00039454372822376473,0.003585258146667189,0.00230189278272117,8.094487307629378e-06
2399.0,5.225554754661293e-05,3.5217304988457644e-05,0.000859032772095774,0.0,0.0
2402.0,0.00017782574288590053,0.00013973174873306487,0.00023029958555531214,0.0,0.0
2405.0,0.0001807244925177629,0.0001950744157029533,0.004583198800317425,0.006568979669946677,5.724502492995692e-05
2408.0,0.0001931554109092734,0.0006418434370868949,0.0007078754800937454,0.009267278301154449,4.086630451460028e-05
2411.0,0.00035364922804311145,0.0009647784428588616,2.816262724831201e-05,0.005087699757093717,4.926019765898242e-05
2414.0,2.875888521850851e-05,0.0014005572408952777,3.88369369979196e-05,4.7418597294888814e-05,0.0
2417.0,5.256594126518641e-06,1.691751480636145e-05,0.0012848910671202339,0.00014189855577389197,0.0007083757135087564
2420.0,0.00030496062933795345,0.0,2.23292391021746e-05,0.0,0.0
2423.0,0.00040327803636154585,0.00036277524004433654,0.0001372131271511035,0.0,4.819952997540268e-05
2426.0,1.9288052888366748e-06,0.0009353065400901264,0.00014428017345035891,0.0007625764541696896,0.0
2429.0,9.005103935197686e-05,2.2032039108703464e-05,3.952631609132409e-06,0.0011346291201745715,8.655079252495312e-05
2432.0,1.1121072900949733e-05,0.001638402886124882,3.4282807494422234e-05,0.0001287894230878148,0.00029829623550268206
2435.0,0.00022721969562749223,0.0005701229926659334,0.00027921166874912744,0.0,0.0
2438.0,0.00011376127339283636,0.0,0.0,0.00015609157906217817,6.692644957124991e-05
2441.0,0.00022375972038271553,0.0004064142370530787,2.3361461641259412e-06,0.0002636710430802361,0.0
2444.0,0.0002601918786743514,6.552311438494107e-05,1.701982248343217e-05,0.0,3.26075937569246e-05
2447.0,1.9808485144149623e-05,3.8372557714630146e-05,8.899141432755477e-05,0.00017006189328025784,5.0127069506772574e-05
2450.0,0.00016895295281605554,0.0,0.00020502833990630447,5.3432650916168804e-05,2.5356892668962243e-05
2453.0,1.9095706003955814e-05,0.00013413448155037905,1.378576803973901e-05,0.0,6.466450723270357e-05
2456.0,0.00012163068121210991,0.0005607377519877479,0.0002484529669710211,0.0005077022910719226,3.213164968141738e-05
